rrp,total_count,total_percentage,order_0_count,order_1_count,order_0_percentage,order_1_percentage
8.25,7161,0.26,5399,1762,75.39,24.61
8.26,234,0.01,193,41,82.48,17.52
8.27,24,0.0,20,4,83.33,16.67
8.28,166,0.01,146,20,87.95,12.05
8.29,173,0.01,124,49,71.68,28.32
8.3,461,0.02,360,101,78.09,21.91
8.32,321,0.01,257,64,80.06,19.94
8.33,28,0.0,22,6,78.57,21.43
8.34,1318,0.05,1032,286,78.3,21.7
8.35,1264,0.05,868,396,68.67,31.33
8.36,612,0.02,499,113,81.54,18.46
8.38,735,0.03,598,137,81.36,18.64
8.39,169,0.01,119,50,70.41,29.59
8.4,1490,0.05,1063,427,71.34,28.66
8.42,879,0.03,694,185,78.95,21.05
8.43,626,0.02,513,113,81.95,18.05
8.45,180,0.01,148,32,82.22,17.78
8.46,644,0.02,513,131,79.66,20.34
8.47,2784,0.1,2081,703,74.75,25.25
8.48,716,0.03,659,57,92.04,7.96
8.49,668,0.02,526,142,78.74,21.26
8.5,25,0.0,17,8,68.0,32.0
8.51,682,0.02,489,193,71.7,28.3
8.53,1012,0.04,823,189,81.32,18.68
8.54,1708,0.06,1462,246,85.6,14.4
8.55,1978,0.07,1579,399,79.83,20.17
8.56,345,0.01,284,61,82.32,17.68
8.57,2908,0.11,2053,855,70.6,29.4
8.58,2501,0.09,2113,388,84.49,15.51
8.59,518,0.02,275,243,53.09,46.91
8.6,7,0.0,6,1,85.71,14.29
8.61,331,0.01,303,28,91.54,8.46
8.62,712,0.03,498,214,69.94,30.06
8.63,3831,0.14,3142,689,82.02,17.98
8.65,21,0.0,20,1,95.24,4.76
8.66,3417,0.12,2441,976,71.44,28.56
8.67,677,0.02,522,155,77.1,22.9
8.68,3082,0.11,2243,839,72.78,27.22
8.69,2323,0.08,1820,503,78.35,21.65
8.71,6,0.0,5,1,83.33,16.67
8.72,530,0.02,369,161,69.62,30.38
8.73,4691,0.17,3448,1243,73.5,26.5
8.75,10883,0.39,8463,2420,77.76,22.24
8.76,1560,0.06,1074,486,68.85,31.15
8.77,23897,0.87,15582,8315,65.2,34.8
8.78,421,0.02,348,73,82.66,17.34
8.79,6117,0.22,5068,1049,82.85,17.15
8.8,2186,0.08,1613,573,73.79,26.21
8.81,13,0.0,11,2,84.62,15.38
8.83,77,0.0,75,2,97.4,2.6
8.84,82,0.0,62,20,75.61,24.39
8.87,1055,0.04,998,57,94.6,5.4
8.88,134,0.0,122,12,91.04,8.96
8.89,22,0.0,18,4,81.82,18.18
8.9,273,0.01,259,14,94.87,5.13
8.91,4051,0.15,3169,882,78.23,21.77
8.93,24,0.0,24,0,100.0,0.0
8.95,1574,0.06,1131,443,71.86,28.14
8.97,1311,0.05,745,566,56.83,43.17
8.98,345,0.01,257,88,74.49,25.51
9.01,813,0.03,694,119,85.36,14.64
9.02,1717,0.06,1466,251,85.38,14.62
9.03,75,0.0,63,12,84.0,16.0
9.04,18,0.0,17,1,94.44,5.56
9.05,3020,0.11,2620,400,86.75,13.25
9.08,805,0.03,552,253,68.57,31.43
9.09,377,0.01,225,152,59.68,40.32
9.1,49,0.0,39,10,79.59,20.41
9.11,1039,0.04,812,227,78.15,21.85
9.12,2974,0.11,1902,1072,63.95,36.05
9.13,633,0.02,499,134,78.83,21.17
9.14,50,0.0,44,6,88.0,12.0
9.15,546,0.02,454,92,83.15,16.85
9.16,114,0.0,82,32,71.93,28.07
9.19,11741,0.43,8183,3558,69.7,30.3
9.2,152,0.01,127,25,83.55,16.45
9.21,1002,0.04,899,103,89.72,10.28
9.22,9,0.0,9,0,100.0,0.0
9.23,1026,0.04,909,117,88.6,11.4
9.24,533,0.02,407,126,76.36,23.64
9.25,130,0.0,67,63,51.54,48.46
9.27,728,0.03,528,200,72.53,27.47
9.29,1559,0.06,1152,407,73.89,26.11
9.31,7361,0.27,5941,1420,80.71,19.29
9.32,22,0.0,19,3,86.36,13.64
9.33,4366,0.16,2685,1681,61.5,38.5
9.34,789,0.03,640,149,81.12,18.88
9.35,11738,0.43,7778,3960,66.26,33.74
9.36,120,0.0,103,17,85.83,14.17
9.37,646,0.02,449,197,69.5,30.5
9.38,878,0.03,678,200,77.22,22.78
9.39,16,0.0,16,0,100.0,0.0
9.41,201,0.01,181,20,90.05,9.95
9.42,45,0.0,37,8,82.22,17.78
9.43,312,0.01,281,31,90.06,9.94
9.44,157,0.01,103,54,65.61,34.39
9.45,1263,0.05,1051,212,83.21,16.79
9.46,126,0.0,91,35,72.22,27.78
9.48,989,0.04,932,57,94.24,5.76
9.49,123,0.0,105,18,85.37,14.63
9.5,47,0.0,35,12,74.47,25.53
9.52,3062,0.11,2383,679,77.82,22.18
9.53,280,0.01,227,53,81.07,18.93
9.55,90,0.0,75,15,83.33,16.67
9.56,348,0.01,260,88,74.71,25.29
9.57,188,0.01,150,38,79.79,20.21
9.58,9199,0.33,5952,3247,64.7,35.3
9.59,180,0.01,173,7,96.11,3.89
9.62,10119,0.37,7216,2903,71.31,28.69
9.64,2286,0.08,1685,601,73.71,26.29
9.66,1334,0.05,778,556,58.32,41.68
9.67,82,0.0,67,15,81.71,18.29
9.68,328,0.01,255,73,77.74,22.26
9.69,60,0.0,55,5,91.67,8.33
9.7,811,0.03,574,237,70.78,29.22
9.72,66,0.0,62,4,93.94,6.06
9.74,5763,0.21,3203,2560,55.58,44.42
9.76,501,0.02,397,104,79.24,20.76
9.77,35,0.0,30,5,85.71,14.29
9.78,1788,0.06,1442,346,80.65,19.35
9.79,2873,0.1,2655,218,92.41,7.59
9.8,52,0.0,37,15,71.15,28.85
9.82,1373,0.05,1261,112,91.84,8.16
9.85,41380,1.5,30656,10724,74.08,25.92
9.86,223,0.01,179,44,80.27,19.73
9.87,4796,0.17,3570,1226,74.44,25.56
9.88,9991,0.36,6578,3413,65.84,34.16
9.89,3833,0.14,2983,850,77.82,22.18
9.9,596,0.02,477,119,80.03,19.97
9.91,10113,0.37,5315,4798,52.56,47.44
9.92,117,0.0,97,20,82.91,17.09
9.96,1887,0.07,1418,469,75.15,24.85
9.97,1890,0.07,1419,471,75.08,24.92
9.98,275,0.01,225,50,81.82,18.18
9.99,181,0.01,157,24,86.74,13.26
10.0,37,0.0,32,5,86.49,13.51
10.01,2157,0.08,1724,433,79.93,20.07
10.02,20,0.0,17,3,85.0,15.0
10.03,651,0.02,482,169,74.04,25.96
10.04,1981,0.07,1776,205,89.65,10.35
10.05,379,0.01,298,81,78.63,21.37
10.07,644,0.02,428,216,66.46,33.54
10.08,403,0.01,330,73,81.89,18.11
10.09,301,0.01,225,76,74.75,25.25
10.11,322,0.01,262,60,81.37,18.63
10.12,665,0.02,538,127,80.9,19.1
10.13,429,0.02,351,78,81.82,18.18
10.14,54,0.0,48,6,88.89,11.11
10.15,242,0.01,218,24,90.08,9.92
10.18,1457,0.05,1114,343,76.46,23.54
10.19,134,0.0,114,20,85.07,14.93
10.21,1555,0.06,1192,363,76.66,23.34
10.22,3552,0.13,3072,480,86.49,13.51
10.23,394,0.01,285,109,72.34,27.66
10.24,303,0.01,153,150,50.5,49.5
10.25,655,0.02,490,165,74.81,25.19
10.26,232,0.01,212,20,91.38,8.62
10.27,340,0.01,233,107,68.53,31.47
10.29,2671,0.1,1994,677,74.65,25.35
10.3,280,0.01,193,87,68.93,31.07
10.31,413,0.01,346,67,83.78,16.22
10.32,445,0.02,345,100,77.53,22.47
10.33,360,0.01,300,60,83.33,16.67
10.34,1045,0.04,670,375,64.11,35.89
10.35,3580,0.13,1937,1643,54.11,45.89
10.36,175,0.01,135,40,77.14,22.86
10.38,705,0.03,476,229,67.52,32.48
10.39,5857,0.21,3954,1903,67.51,32.49
10.41,221,0.01,169,52,76.47,23.53
10.42,8965,0.33,6244,2721,69.65,30.35
10.43,9,0.0,5,4,55.56,44.44
10.44,1044,0.04,702,342,67.24,32.76
10.45,7307,0.27,5085,2222,69.59,30.41
10.47,40,0.0,36,4,90.0,10.0
10.48,280,0.01,212,68,75.71,24.29
10.49,61,0.0,45,16,73.77,26.23
10.51,110,0.0,98,12,89.09,10.91
10.52,133,0.0,97,36,72.93,27.07
10.53,126,0.0,90,36,71.43,28.57
10.55,2622,0.1,2167,455,82.65,17.35
10.56,1809,0.07,1407,402,77.78,22.22
10.57,45,0.0,36,9,80.0,20.0
10.59,338,0.01,271,67,80.18,19.82
10.62,423,0.02,355,68,83.92,16.08
10.63,343,0.01,273,70,79.59,20.41
10.64,4100,0.15,2878,1222,70.2,29.8
10.66,450,0.02,340,110,75.56,24.44
10.67,3287,0.12,2665,622,81.08,18.92
10.68,216,0.01,188,28,87.04,12.96
10.7,77,0.0,59,18,76.62,23.38
10.71,213,0.01,175,38,82.16,17.84
10.73,954,0.03,741,213,77.67,22.33
10.74,389,0.01,252,137,64.78,35.22
10.75,350,0.01,281,69,80.29,19.71
10.76,460,0.02,273,187,59.35,40.65
10.77,1919,0.07,1535,384,79.99,20.01
10.78,1270,0.05,988,282,77.8,22.2
10.79,2333,0.08,1711,622,73.34,26.66
10.81,46,0.0,34,12,73.91,26.09
10.82,153,0.01,132,21,86.27,13.73
10.84,622,0.02,550,72,88.42,11.58
10.86,97,0.0,83,14,85.57,14.43
10.87,233,0.01,202,31,86.7,13.3
10.88,3742,0.14,2738,1004,73.17,26.83
10.89,40000,1.45,29831,10169,74.58,25.42
10.91,24,0.0,20,4,83.33,16.67
10.92,146,0.01,128,18,87.67,12.33
10.93,5314,0.19,4348,966,81.82,18.18
10.95,22291,0.81,17977,4314,80.65,19.35
10.96,11846,0.43,8479,3367,71.58,28.42
10.97,20070,0.73,14623,5447,72.86,27.14
10.98,321,0.01,263,58,81.93,18.07
10.99,7640,0.28,6155,1485,80.56,19.44
11.0,2578,0.09,1778,800,68.97,31.03
11.02,14,0.0,14,0,100.0,0.0
11.04,17,0.0,16,1,94.12,5.88
11.06,164,0.01,97,67,59.15,40.85
11.07,159,0.01,126,33,79.25,20.75
11.08,449,0.02,401,48,89.31,10.69
11.1,3164,0.11,1660,1504,52.47,47.53
11.11,358,0.01,260,98,72.63,27.37
11.14,11,0.0,6,5,54.55,45.45
11.15,927,0.03,509,418,54.91,45.09
11.17,772,0.03,613,159,79.4,20.6
11.18,69,0.0,65,4,94.2,5.8
11.19,67,0.0,64,3,95.52,4.48
11.21,366,0.01,304,62,83.06,16.94
11.22,4997,0.18,3880,1117,77.65,22.35
11.23,958,0.03,724,234,75.57,24.43
11.24,7029,0.26,4597,2432,65.4,34.6
11.25,467,0.02,437,30,93.58,6.42
11.28,818,0.03,726,92,88.75,11.25
11.29,149,0.01,92,57,61.74,38.26
11.3,69,0.0,62,7,89.86,10.14
11.31,309,0.01,266,43,86.08,13.92
11.32,8053,0.29,4577,3476,56.84,43.16
11.33,625,0.02,448,177,71.68,28.32
11.34,55,0.0,48,7,87.27,12.73
11.35,398,0.01,300,98,75.38,24.62
11.36,52,0.0,40,12,76.92,23.08
11.38,389,0.01,327,62,84.06,15.94
11.4,2526,0.09,1650,876,65.32,34.68
11.42,66,0.0,65,1,98.48,1.52
11.43,1518,0.06,947,571,62.38,37.62
11.44,3502,0.13,2282,1220,65.16,34.84
11.48,11,0.0,6,5,54.55,45.45
11.5,10326,0.37,6711,3615,64.99,35.01
11.52,10,0.0,10,0,100.0,0.0
11.53,5168,0.19,2857,2311,55.28,44.72
11.54,175,0.01,130,45,74.29,25.71
11.55,19152,0.69,12903,6249,67.37,32.63
11.56,187,0.01,137,50,73.26,26.74
11.57,832,0.03,747,85,89.78,10.22
11.58,291,0.01,246,45,84.54,15.46
11.61,4,0.0,3,1,75.0,25.0
11.62,299,0.01,208,91,69.57,30.43
11.63,84,0.0,78,6,92.86,7.14
11.64,88,0.0,56,32,63.64,36.36
11.65,60,0.0,43,17,71.67,28.33
11.66,1129,0.04,768,361,68.02,31.98
11.67,390,0.01,314,76,80.51,19.49
11.69,60,0.0,51,9,85.0,15.0
11.72,643,0.02,562,81,87.4,12.6
11.73,321,0.01,295,26,91.9,8.1
11.74,280,0.01,213,67,76.07,23.93
11.75,26,0.0,21,5,80.77,19.23
11.76,573,0.02,444,129,77.49,22.51
11.77,303,0.01,257,46,84.82,15.18
11.79,1694,0.06,1167,527,68.89,31.11
11.83,1841,0.07,1376,465,74.74,25.26
11.84,583,0.02,465,118,79.76,20.24
11.85,48,0.0,42,6,87.5,12.5
11.86,228,0.01,199,29,87.28,12.72
11.87,616,0.02,406,210,65.91,34.09
11.88,374,0.01,309,65,82.62,17.38
11.9,198,0.01,152,46,76.77,23.23
11.91,1,0.0,1,0,100.0,0.0
11.92,488,0.02,382,106,78.28,21.72
11.94,982,0.04,840,142,85.54,14.46
11.95,1557,0.06,1125,432,72.25,27.75
11.97,575,0.02,469,106,81.57,18.43
11.98,562,0.02,470,92,83.63,16.37
11.99,2945,0.11,2511,434,85.26,14.74
12.0,251,0.01,147,104,58.57,41.43
12.01,390,0.01,365,25,93.59,6.41
12.03,155,0.01,124,31,80.0,20.0
12.04,5863,0.21,4780,1083,81.53,18.47
12.07,866,0.03,517,349,59.7,40.3
12.08,16426,0.6,12030,4396,73.24,26.76
12.09,1885,0.07,1535,350,81.43,18.57
12.1,597,0.02,454,143,76.05,23.95
12.11,19,0.0,15,4,78.95,21.05
12.12,63,0.0,58,5,92.06,7.94
12.14,18,0.0,17,1,94.44,5.56
12.16,58,0.0,48,10,82.76,17.24
12.17,33,0.0,30,3,90.91,9.09
12.18,1295,0.05,838,457,64.71,35.29
12.19,65,0.0,61,4,93.85,6.15
12.2,1098,0.04,621,477,56.56,43.44
12.21,1369,0.05,1089,280,79.55,20.45
12.22,440,0.02,311,129,70.68,29.32
12.24,178,0.01,128,50,71.91,28.09
12.25,113,0.0,99,14,87.61,12.39
12.27,395,0.01,259,136,65.57,34.43
12.29,964,0.03,609,355,63.17,36.83
12.31,657,0.02,592,65,90.11,9.89
12.32,1005,0.04,785,220,78.11,21.89
12.33,12,0.0,11,1,91.67,8.33
12.34,194,0.01,163,31,84.02,15.98
12.35,110,0.0,92,18,83.64,16.36
12.38,2360,0.09,1943,417,82.33,17.67
12.4,1071,0.04,966,105,90.2,9.8
12.41,97,0.0,74,23,76.29,23.71
12.42,47,0.0,36,11,76.6,23.4
12.43,128,0.0,84,44,65.62,34.38
12.44,913,0.03,769,144,84.23,15.77
12.45,464,0.02,389,75,83.84,16.16
12.46,761,0.03,529,232,69.51,30.49
12.47,297,0.01,239,58,80.47,19.53
12.49,118,0.0,105,13,88.98,11.02
12.5,144,0.01,100,44,69.44,30.56
12.51,16,0.0,11,5,68.75,31.25
12.52,50,0.0,43,7,86.0,14.0
12.54,1070,0.04,814,256,76.07,23.93
12.55,268,0.01,203,65,75.75,24.25
12.56,71,0.0,55,16,77.46,22.54
12.58,740,0.03,602,138,81.35,18.65
12.6,9569,0.35,6654,2915,69.54,30.46
12.61,361,0.01,240,121,66.48,33.52
12.62,6009,0.22,3686,2323,61.34,38.66
12.64,213,0.01,179,34,84.04,15.96
12.65,2195,0.08,1679,516,76.49,23.51
12.66,508,0.02,387,121,76.18,23.82
12.67,101,0.0,87,14,86.14,13.86
12.68,180,0.01,146,34,81.11,18.89
12.71,484,0.02,370,114,76.45,23.55
12.73,236,0.01,209,27,88.56,11.44
12.74,14,0.0,9,5,64.29,35.71
12.76,4786,0.17,2991,1795,62.49,37.51
12.79,129,0.0,111,18,86.05,13.95
12.8,137,0.0,131,6,95.62,4.38
12.82,836,0.03,639,197,76.44,23.56
12.83,686,0.02,609,77,88.78,11.22
12.85,306,0.01,208,98,67.97,32.03
12.86,123,0.0,85,38,69.11,30.89
12.87,1941,0.07,1497,444,77.13,22.87
12.88,129,0.0,102,27,79.07,20.93
12.9,41,0.0,36,5,87.8,12.2
12.93,68,0.0,60,8,88.24,11.76
12.94,849,0.03,634,215,74.68,25.32
12.95,250,0.01,220,30,88.0,12.0
12.96,40,0.0,32,8,80.0,20.0
12.97,173,0.01,134,39,77.46,22.54
12.98,3831,0.14,3095,736,80.79,19.21
13.01,99,0.0,65,34,65.66,34.34
13.02,3154,0.11,2398,756,76.03,23.97
13.04,1399,0.05,1263,136,90.28,9.72
13.05,60,0.0,55,5,91.67,8.33
13.07,512,0.02,378,134,73.83,26.17
13.08,856,0.03,668,188,78.04,21.96
13.09,2506,0.09,1916,590,76.46,23.54
13.1,24,0.0,20,4,83.33,16.67
13.12,376,0.01,286,90,76.06,23.94
13.13,351,0.01,262,89,74.64,25.36
13.14,4458,0.16,3487,971,78.22,21.78
13.16,4351,0.16,3042,1309,69.91,30.09
13.17,24211,0.88,14620,9591,60.39,39.61
13.18,1191,0.04,985,206,82.7,17.3
13.19,3014,0.11,2306,708,76.51,23.49
13.2,7557,0.27,5983,1574,79.17,20.83
13.21,70,0.0,61,9,87.14,12.86
13.22,119,0.0,107,12,89.92,10.08
13.23,82,0.0,56,26,68.29,31.71
13.24,26,0.0,18,8,69.23,30.77
13.26,711,0.03,635,76,89.31,10.69
13.28,1890,0.07,1274,616,67.41,32.59
13.3,8,0.0,6,2,75.0,25.0
13.31,265,0.01,171,94,64.53,35.47
13.34,132,0.0,124,8,93.94,6.06
13.35,135,0.0,100,35,74.07,25.93
13.37,606,0.02,446,160,73.6,26.4
13.39,6,0.0,5,1,83.33,16.67
13.4,69,0.0,66,3,95.65,4.35
13.41,57,0.0,50,7,87.72,12.28
13.42,4438,0.16,3269,1169,73.66,26.34
13.43,15,0.0,14,1,93.33,6.67
13.44,605,0.02,418,187,69.09,30.91
13.45,194,0.01,149,45,76.8,23.2
13.48,249,0.01,185,64,74.3,25.7
13.49,393,0.01,334,59,84.99,15.01
13.5,262,0.01,171,91,65.27,34.73
13.51,168,0.01,154,14,91.67,8.33
13.52,1607,0.06,1320,287,82.14,17.86
13.53,1769,0.06,1461,308,82.59,17.41
13.55,87,0.0,70,17,80.46,19.54
13.56,193,0.01,144,49,74.61,25.39
13.57,2342,0.08,1963,379,83.82,16.18
13.59,295,0.01,241,54,81.69,18.31
13.6,2691,0.1,1658,1033,61.61,38.39
13.62,100,0.0,84,16,84.0,16.0
13.63,36,0.0,31,5,86.11,13.89
13.64,756,0.03,532,224,70.37,29.63
13.66,398,0.01,316,82,79.4,20.6
13.68,28,0.0,27,1,96.43,3.57
13.7,4577,0.17,3163,1414,69.11,30.89
13.71,208,0.01,163,45,78.37,21.63
13.72,284,0.01,220,64,77.46,22.54
13.73,4163,0.15,3071,1092,73.77,26.23
13.74,130,0.0,109,21,83.85,16.15
13.75,1881,0.07,1383,498,73.52,26.48
13.77,1022,0.04,804,218,78.67,21.33
13.78,656,0.02,505,151,76.98,23.02
13.81,268,0.01,231,37,86.19,13.81
13.83,276,0.01,185,91,67.03,32.97
13.84,465,0.02,377,88,81.08,18.92
13.85,1520,0.06,1109,411,72.96,27.04
13.86,1389,0.05,1111,278,79.99,20.01
13.87,374,0.01,353,21,94.39,5.61
13.89,12,0.0,12,0,100.0,0.0
13.92,1204,0.04,961,243,79.82,20.18
13.93,689,0.02,555,134,80.55,19.45
13.94,175,0.01,132,43,75.43,24.57
13.96,4091,0.15,3640,451,88.98,11.02
13.97,637,0.02,451,186,70.8,29.2
13.98,150,0.01,135,15,90.0,10.0
13.99,1028,0.04,800,228,77.82,22.18
14.03,1048,0.04,671,377,64.03,35.97
14.04,778,0.03,500,278,64.27,35.73
14.05,35,0.0,26,9,74.29,25.71
14.06,4,0.0,4,0,100.0,0.0
14.07,3917,0.14,2916,1001,74.44,25.56
14.08,266,0.01,201,65,75.56,24.44
14.1,61,0.0,53,8,86.89,13.11
14.11,135,0.0,85,50,62.96,37.04
14.12,387,0.01,317,70,81.91,18.09
14.14,2775,0.1,2170,605,78.2,21.8
14.17,1,0.0,0,1,0.0,100.0
14.18,292,0.01,242,50,82.88,17.12
14.19,4360,0.16,3639,721,83.46,16.54
14.2,232,0.01,200,32,86.21,13.79
14.21,240,0.01,209,31,87.08,12.92
14.22,162,0.01,128,34,79.01,20.99
14.25,24341,0.88,18719,5622,76.9,23.1
14.26,351,0.01,322,29,91.74,8.26
14.27,8439,0.31,5825,2614,69.02,30.98
14.28,1942,0.07,1505,437,77.5,22.5
14.29,3608,0.13,2932,676,81.26,18.74
14.3,1310,0.05,1170,140,89.31,10.69
14.31,166,0.01,145,21,87.35,12.65
14.32,22,0.0,15,7,68.18,31.82
14.33,149,0.01,121,28,81.21,18.79
14.34,30,0.0,24,6,80.0,20.0
14.36,1296,0.05,1216,80,93.83,6.17
14.39,2932,0.11,2096,836,71.49,28.51
14.41,1290,0.05,963,327,74.65,25.35
14.42,3163,0.11,2143,1020,67.75,32.25
14.45,295,0.01,274,21,92.88,7.12
14.47,222,0.01,189,33,85.14,14.86
14.48,113,0.0,84,29,74.34,25.66
14.49,707,0.03,531,176,75.11,24.89
14.5,47,0.0,38,9,80.85,19.15
14.51,127,0.0,119,8,93.7,6.3
14.52,1146,0.04,924,222,80.63,19.37
14.53,128,0.0,89,39,69.53,30.47
14.55,136,0.0,112,24,82.35,17.65
14.56,838,0.03,456,382,54.42,45.58
14.58,1595,0.06,1224,371,76.74,23.26
14.61,1333,0.05,834,499,62.57,37.43
14.62,51,0.0,47,4,92.16,7.84
14.63,1918,0.07,1615,303,84.2,15.8
14.65,2170,0.08,1944,226,89.59,10.41
14.69,310,0.01,237,73,76.45,23.55
14.7,820,0.03,709,111,86.46,13.54
14.72,1126,0.04,805,321,71.49,28.51
14.73,241,0.01,184,57,76.35,23.65
14.74,4972,0.18,3217,1755,64.7,35.3
14.75,752,0.03,569,183,75.66,24.34
14.78,1035,0.04,924,111,89.28,10.72
14.79,2793,0.1,2514,279,90.01,9.99
14.82,21,0.0,15,6,71.43,28.57
14.84,2946,0.11,2592,354,87.98,12.02
14.85,3533,0.13,2756,777,78.01,21.99
14.86,7060,0.26,3396,3664,48.1,51.9
14.88,918,0.03,536,382,58.39,41.61
14.89,1098,0.04,682,416,62.11,37.89
14.91,732,0.03,484,248,66.12,33.88
14.93,287,0.01,197,90,68.64,31.36
14.94,2487,0.09,2102,385,84.52,15.48
14.95,153,0.01,122,31,79.74,20.26
14.96,1954,0.07,1474,480,75.44,24.56
14.97,71,0.0,63,8,88.73,11.27
14.98,45,0.0,43,2,95.56,4.44
14.99,185,0.01,164,21,88.65,11.35
15.02,2011,0.07,1619,392,80.51,19.49
15.03,442,0.02,360,82,81.45,18.55
15.04,26,0.0,22,4,84.62,15.38
15.06,734,0.03,517,217,70.44,29.56
15.07,1156,0.04,902,254,78.03,21.97
15.08,204,0.01,159,45,77.94,22.06
15.1,99,0.0,61,38,61.62,38.38
15.11,1111,0.04,1049,62,94.42,5.58
15.13,359,0.01,266,93,74.09,25.91
15.14,54,0.0,38,16,70.37,29.63
15.15,143,0.01,119,24,83.22,16.78
15.16,74,0.0,68,6,91.89,8.11
15.17,3219,0.12,2082,1137,64.68,35.32
15.18,283,0.01,242,41,85.51,14.49
15.2,501,0.02,468,33,93.41,6.59
15.21,83,0.0,81,2,97.59,2.41
15.22,2174,0.08,1592,582,73.23,26.77
15.24,1940,0.07,1644,296,84.74,15.26
15.25,170,0.01,155,15,91.18,8.82
15.27,417,0.02,327,90,78.42,21.58
15.29,6499,0.24,4888,1611,75.21,24.79
15.3,130,0.0,85,45,65.38,34.62
15.31,748,0.03,638,110,85.29,14.71
15.32,8,0.0,6,2,75.0,25.0
15.33,25,0.0,17,8,68.0,32.0
15.35,21252,0.77,17501,3751,82.35,17.65
15.36,290,0.01,216,74,74.48,25.52
15.37,386,0.01,305,81,79.02,20.98
15.38,2827,0.1,1625,1202,57.48,42.52
15.39,8388,0.3,5878,2510,70.08,29.92
15.4,3205,0.12,2106,1099,65.71,34.29
15.41,83,0.0,74,9,89.16,10.84
15.42,179,0.01,156,23,87.15,12.85
15.43,220,0.01,213,7,96.82,3.18
15.46,909,0.03,660,249,72.61,27.39
15.48,311,0.01,235,76,75.56,24.44
15.49,18,0.0,13,5,72.22,27.78
15.5,7658,0.28,4286,3372,55.97,44.03
15.51,231,0.01,179,52,77.49,22.51
15.52,139,0.01,113,26,81.29,18.71
15.53,190,0.01,154,36,81.05,18.95
15.54,498,0.02,486,12,97.59,2.41
15.57,211,0.01,164,47,77.73,22.27
15.59,450,0.02,281,169,62.44,37.56
15.6,508,0.02,295,213,58.07,41.93
15.62,1746,0.06,1302,444,74.57,25.43
15.63,220,0.01,190,30,86.36,13.64
15.64,26,0.0,24,2,92.31,7.69
15.65,546,0.02,376,170,68.86,31.14
15.66,249,0.01,199,50,79.92,20.08
15.68,1398,0.05,1009,389,72.17,27.83
15.7,26,0.0,22,4,84.62,15.38
15.71,1314,0.05,800,514,60.88,39.12
15.72,1,0.0,1,0,100.0,0.0
15.73,1276,0.05,990,286,77.59,22.41
15.75,98,0.0,89,9,90.82,9.18
15.76,28,0.0,24,4,85.71,14.29
15.77,32,0.0,28,4,87.5,12.5
15.79,16,0.0,10,6,62.5,37.5
15.8,129,0.0,115,14,89.15,10.85
15.82,138,0.01,115,23,83.33,16.67
15.83,338,0.01,296,42,87.57,12.43
15.84,2900,0.11,2105,795,72.59,27.41
15.85,230,0.01,151,79,65.65,34.35
15.87,523,0.02,469,54,89.67,10.33
15.88,125,0.0,112,13,89.6,10.4
15.9,3261,0.12,2568,693,78.75,21.25
15.91,350,0.01,329,21,94.0,6.0
15.92,514,0.02,397,117,77.24,22.76
15.93,854,0.03,658,196,77.05,22.95
15.94,9357,0.34,5821,3536,62.21,37.79
15.95,5811,0.21,4591,1220,79.01,20.99
15.97,39,0.0,31,8,79.49,20.51
15.98,1616,0.06,1553,63,96.1,3.9
15.99,180,0.01,163,17,90.56,9.44
16.01,322,0.01,283,39,87.89,12.11
16.02,504,0.02,367,137,72.82,27.18
16.03,4,0.0,2,2,50.0,50.0
16.04,513,0.02,325,188,63.35,36.65
16.05,24,0.0,15,9,62.5,37.5
16.06,1395,0.05,1201,194,86.09,13.91
16.07,44,0.0,41,3,93.18,6.82
16.08,429,0.02,338,91,78.79,21.21
16.09,149,0.01,116,33,77.85,22.15
16.1,785,0.03,474,311,60.38,39.62
16.12,97,0.0,70,27,72.16,27.84
16.13,6,0.0,6,0,100.0,0.0
16.14,85,0.0,82,3,96.47,3.53
16.15,139,0.01,98,41,70.5,29.5
16.16,58,0.0,55,3,94.83,5.17
16.17,4249,0.15,3146,1103,74.04,25.96
16.18,1159,0.04,499,660,43.05,56.95
16.2,79,0.0,79,0,100.0,0.0
16.21,22,0.0,16,6,72.73,27.27
16.23,98,0.0,86,12,87.76,12.24
16.24,455,0.02,298,157,65.49,34.51
16.26,429,0.02,406,23,94.64,5.36
16.27,1733,0.06,1183,550,68.26,31.74
16.28,1152,0.04,913,239,79.25,20.75
16.31,229,0.01,154,75,67.25,32.75
16.32,172,0.01,121,51,70.35,29.65
16.34,825,0.03,572,253,69.33,30.67
16.35,46,0.0,40,6,86.96,13.04
16.36,9,0.0,5,4,55.56,44.44
16.37,209,0.01,182,27,87.08,12.92
16.38,57,0.0,52,5,91.23,8.77
16.39,3180,0.12,2512,668,78.99,21.01
16.4,726,0.03,518,208,71.35,28.65
16.41,796,0.03,692,104,86.93,13.07
16.42,376,0.01,266,110,70.74,29.26
16.43,2542,0.09,1416,1126,55.7,44.3
16.45,21710,0.79,17129,4581,78.9,21.1
16.46,225,0.01,165,60,73.33,26.67
16.47,1055,0.04,595,460,56.4,43.6
16.48,1831,0.07,1495,336,81.65,18.35
16.49,15149,0.55,10020,5129,66.14,33.86
16.5,1241,0.05,1051,190,84.69,15.31
16.51,160,0.01,122,38,76.25,23.75
16.52,1000,0.04,737,263,73.7,26.3
16.54,321,0.01,304,17,94.7,5.3
16.57,13,0.0,12,1,92.31,7.69
16.58,379,0.01,287,92,75.73,24.27
